shop,url,image,calendar
M,https://www.cityheaven.net/gifu/A2101/A210101/en/girlid-44866959/?lo=1,https://img.cityheaven.net/img/girls/t/en/grpb0044866959_0000000000pc.jpg?cache02=1761470164,"{'11/16(日)': '9:00 - 20:30', '11/17(月)': '-', '11/18(火)': '明日出勤！ご予約受付中！', '11/19(水)': '10:00 - 20:30', '11/20(木)': '10:00 - 20:30', '11/21(金)': '明日出勤！ご予約受付中！', '11/22(土)': '10:00 - 20:30', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
ROYALCLUB姫,https://www.cityheaven.net/gifu/A2101/A210101/hime/girlid-50476855/?lo=1,https://img.cityheaven.net/img/girls/t/hime/grpb0050476855_0000000000pc.jpg?cache02=1740655921,"{'11/16(日)': '12:00 - 14:00', '11/17(月)': '-', '11/18(火)': '-', '11/19(水)': '-', '11/20(木)': '-', '11/21(金)': '-', '11/22(土)': '-', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
ロマネ,https://www.cityheaven.net/gifu/A2101/A210101/romane/girlid-62738481/?lo=1,https://img.cityheaven.net/img/girls/t/romane/grpb0062738481_0000000000pc.jpg?cache02=1762411225,"{'11/16(日)': '-', '11/17(月)': '-', '11/18(火)': '-', '11/19(水)': '-', '11/20(木)': '-', '11/21(金)': '-', '11/22(土)': '-', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '14:00 - 23:30', '12/6(土)': '10:00 - 23:30', '12/7(日)': '10:00 - 20:00', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
愛特急２００６　Ｖｅｎｕｓ,https://www.cityheaven.net/aichi/A2301/A230104/ai-angel/girlid-47642864/?lo=1,https://img.cityheaven.net/img/girls/t/ai-angel/grpb0047642864_0000000000pc.jpg?cache02=1763235944,"{'11/16(日)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/17(月)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/18(火)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/19(水)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/20(木)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/21(金)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/22(土)': '⭐ご新規様割引＋Fポイント会員登録で更にお得⭐', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
愛ＡＮＧＥＬ,https://www.cityheaven.net/aichi/A2301/A230103/ai-angel-s/girlid-31185227/?lo=1,https://img.cityheaven.net/img/girls/t/ai-angel-s/grpb0031185227_0000000000pc.jpg?cache02=1763134510,"{'11/16(日)': '🎅ご新規様割引✚🎁Fポイント会員登録で更にお得', '11/17(月)': '20:00 - 4:00', '11/18(火)': '20:00 - 4:00', '11/19(水)': '🎅ご新規様割引✚🎁Fポイント会員登録で更にお得', '11/20(木)': '20:00 - 4:00', '11/21(金)': '20:00 - 4:00', '11/22(土)': '20:00 - 4:00', '11/23(日)': '-', '11/24(月)': '20:00 - 4:00', '11/25(火)': '20:00 - 4:00', '11/26(水)': '20:00 - 4:00', '11/27(木)': '20:00 - 2:00', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '20:00 - 4:00', '12/2(火)': '20:00 - 4:00', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '20:00 - 4:00', '12/6(土)': '20:00 - 4:00', '12/7(日)': '-', '12/8(月)': '20:00 - 4:00', '12/9(火)': '20:00 - 4:00', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '20:00 - 4:00', '12/14(日)': '-', '12/15(月)': '-'}"
奥鉄オクテツ東海店（デリヘル市場グループ）,https://www.cityheaven.net/aichi/A2301/A230101/ot69/girlid-55993045/?lo=1,https://img.cityheaven.net/img/girls/t/ot69/grpb0055993045_0000000000pc.jpg?cache02=1756699556,"{'11/16(日)': '休み', '11/17(月)': '休み', '11/18(火)': '休み', '11/19(水)': '休み', '11/20(木)': '休み', '11/21(金)': '休み', '11/22(土)': '休み', '11/23(日)': '休み', '11/24(月)': '休み', '11/25(火)': '休み', '11/26(水)': '休み', '11/27(木)': '休み', '11/28(金)': '休み', '11/29(土)': '休み', '11/30(日)': '休み', '12/1(月)': '休み', '12/2(火)': '休み', '12/3(水)': '休み', '12/4(木)': '休み', '12/5(金)': '休み', '12/6(土)': '休み', '12/7(日)': '休み', '12/8(月)': '休み', '12/9(火)': '休み', '12/10(水)': '休み', '12/11(木)': '休み', '12/12(金)': '休み', '12/13(土)': '休み', '12/14(日)': '休み', '12/15(月)': '休み'}"
奥鉄オクテツ東海店（デリヘル市場グループ）,https://www.cityheaven.net/aichi/A2301/A230101/ot69/girlid-51861344/?lo=1,https://img.cityheaven.net/img/girls/t/ot69/grpb0051861344_0000000000pc.jpg?cache02=1749194029,"{'11/16(日)': '休み', '11/17(月)': '16:00 - 20:00', '11/18(火)': '16:00 - 20:00', '11/19(水)': '16:00 - 20:00', '11/20(木)': '16:00 - 20:00', '11/21(金)': '休み', '11/22(土)': '休み', '11/23(日)': '休み', '11/24(月)': '16:00 - 20:00', '11/25(火)': '16:00 - 20:00', '11/26(水)': '16:00 - 22:00', '11/27(木)': '16:00 - 22:00', '11/28(金)': '休み', '11/29(土)': '休み', '11/30(日)': '休み', '12/1(月)': '16:00 - 22:00', '12/2(火)': '16:00 - 22:00', '12/3(水)': '16:00 - 22:00', '12/4(木)': '16:00 - 22:00', '12/5(金)': '休み', '12/6(土)': '休み', '12/7(日)': '休み', '12/8(月)': '16:00 - 22:00', '12/9(火)': '16:00 - 22:00', '12/10(水)': '16:00 - 22:00', '12/11(木)': '16:00 - 22:00', '12/12(金)': '休み', '12/13(土)': '休み', '12/14(日)': '休み', '12/15(月)': '16:00 - 22:00'}"
人妻セレブ宮殿 名古屋,https://www.cityheaven.net/aichi/A2301/A230101/celb_palace/girlid-39299676/?lo=1,https://img.cityheaven.net/img/girls/t/celb_palace/grpb0039299676_0000000000pc.jpg?cache02=1762953795,"{'11/16(日)': '12:00 - 20:00', '11/17(月)': '-', '11/18(火)': '-', '11/19(水)': '-', '11/20(木)': '-', '11/21(金)': '-', '11/22(土)': '12:00 - 20:00', '11/23(日)': '14:00 - 16:00', '11/24(月)': '-', '11/25(火)': '12:00 - 17:00', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '12:00 - 20:00', '11/29(土)': '13:00 - 20:00', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
ラブココ名古屋本店,https://www.cityheaven.net/aichi/A2301/A230105/love_coco/girlid-33401214/?lo=1,https://img.cityheaven.net/img/girls/t/love_coco/grpb0033401214_0000000000pc.jpg?cache02=1739106103,"{'11/16(日)': '-', '11/17(月)': '-', '11/18(火)': '-', '11/19(水)': '-', '11/20(木)': '-', '11/21(金)': '-', '11/22(土)': '-', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
ラブココ名古屋本店,https://www.cityheaven.net/aichi/A2301/A230105/love_coco/girlid-36052280/?lo=1,https://img.cityheaven.net/img/girls/t/love_coco/grpb0036052280_0000000000pc.jpg?cache02=1748018436,"{'11/16(日)': '-', '11/17(月)': '-', '11/18(火)': '-', '11/19(水)': '-', '11/20(木)': '-', '11/21(金)': '-', '11/22(土)': '-', '11/23(日)': '-', '11/24(月)': '-', '11/25(火)': '-', '11/26(水)': '-', '11/27(木)': '-', '11/28(金)': '-', '11/29(土)': '-', '11/30(日)': '-', '12/1(月)': '-', '12/2(火)': '-', '12/3(水)': '-', '12/4(木)': '-', '12/5(金)': '-', '12/6(土)': '-', '12/7(日)': '-', '12/8(月)': '-', '12/9(火)': '-', '12/10(水)': '-', '12/11(木)': '-', '12/12(金)': '-', '12/13(土)': '-', '12/14(日)': '-', '12/15(月)': '-'}"
