shop_name,shop_type,girl_name,girl_url,age,report_url,evaluations,cityheaven_url
C'est裸美,ソープランド,柚,https://www.cityheaven.net/gifu/A2101/A210101/selavi/girlid-40362133/,22,https://m.fuzoku-tokai.com/2023/01/05/post-13552/,"{'顔: 80.0': '少し目付きが怖い印象でしたがしゃべると全然そんな感じしなかったです。', 'スタイル: 80': '細くて華奢でした。とてもエロいボディラインの持ち主です。', 'カップ: Ｂカップ': 'おっぱい星人は期待しちゃダメです。まあでもキレイな形なので私は好きです。', 'パネル差: 0': 'ほぼパネルと同じだと思います。パネルイメージで入ったら間違いないです。', 'プレイ: 90': 'アニコスでプレイしてましたので、アニメのキャラクターになりきってもらいました。結構頑張ってくれるので満足できるかと。', '総合: 85': '顔がかなり可愛いのと、声が可愛い。プレイも頑張ってくれるのでなかなかの逸材です。', 'リピート: 返す（リピートする）': 'もっかい卑猥な言葉を言わせたい！'}",https://www.cityheaven.net/gifu/A2101/A210101/selavi/girlid-40362133/
CANDY（キャンディ）,ソープランド,きょう,https://www.cityheaven.net/gifu/A2101/A210101/candy/girlid-42166606/?of=y,25,https://m.fuzoku-tokai.com/2023/01/07/post-13558/,"{'顔: 75.0': '顔は可愛い系で肌も色白で黒髪もきれいでした。完全なる清楚系です。', 'スタイル: 70': '写真と比べるとちょいぽっちゃりでしたがデブではないです。顔はかわいい系で肌もきれいでした。、', 'カップ: それ以上カップ': '胸はプロフィール通り巨乳でした。やわらかくて触り心地も良いです', 'パネル差: 70': 'パネルや写メ日記の顔と比べると若干落ちますが、普通に可愛い子でした。', 'プレイ: 50': '特筆したテクニックはなかったですが一通りのこては出来ました。一生懸命さは伝わってきたので良かったです。', '総合: 80': '顔は可愛い系でむっちり巨乳で個人的には満足できました。ですが人によってはぽっちゃり系と思うかもしれないので要注意です。', 'リピート: 返す（リピートする）': '自分は基本的に新規の子を選んでいますが、話も合ったのでまたリピートしてもいいと思いました。'}",https://www.cityheaven.net/gifu/A2101/A210101/candy/girlid-42166606/?of=y
GG,ソープランド,イト,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-56811637/,21,https://m.fuzoku-tokai.com/2025/10/07/post-15703/,"{'顔: 95.0': 'ふんわり癒し系の、とても笑顔が可愛らしい今ドキの女の子。。\n\n                        クリッとした目と笑った時のえくぼが印象的。\n\n                        そこはかとなくハーフかクォーター？的な雰囲気\n\n                        清楚で品のある顔立ち。。優しい性格が滲み出てる。。', 'スタイル: 95': 'モデル並みのスレンダー脚が長くてスレンダーながらもプリッとしたお尻が最高に眺めがいい。。', 'カップ: Ｃカップ': '手のひらに収まるちょうどいい大きさ。なかなかお目にかかれないレベルの整った綺麗なおっぱい。乳輪 乳首ピンク 見惚れる。。', 'パネル差: 5': 'ボカシが入れてあるぐらいでパネマジ等特に見られる傾向は無いかと思われる', 'プレイ: 95': 'フェラチオは天下一品、うまい。。グラインド騎乗位の腰使いには脱帽。。とても敏感らしくビクンビクン反応しながらもバスタオルで顔を隠して恥じらうところが素人感あって最高にキュンときた。。', '総合: 95': '非常に上品で物腰柔らかく、終始丁寧で安心感があり癒される。。見惚れるほどの抜群のスタイルとシルクのような色白美肌。とても敏感で、感度抜群！終始キュンキュンしっぱなしでした。恥じらいながらも一生懸命尽くしてくれますよ！とにかく可愛いが止まらなかっです。。', 'リピート: 返す（リピートする）': '可愛いし癒されるから。。また癒しが欲しくなったら行きたいから。。'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-56811637/
GG,ソープランド,ナギ,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-56755297/?lo=1,22,https://m.fuzoku-tokai.com/2025/05/15/post-15454/,"{'顔: 85.0': '実物は、まなかなに少し似ていますが、他に清純派のAV女優の雰囲気があり。撮影の仕方で、まなかなにそっくりになると思われる。この店で一番美人と某掲示板にありますが、全員は知らないのですが、一番では無いと思います。充分美人ですが。化粧が濃く下から見る顔は良く無い。\n\n                        イトの方が目が大きい分、顔はかわいいかな？', 'スタイル: 90': '抜群。好みとしては、もう少し小柄だと良いが、ぼてっとなりがちな日本人女性としては珍しく美しい。美少女フィギュアのような体形。肌質は、デリやメンエスに比べると、ソープ肌になりかけている感じ。体質かも知れないが。', 'カップ: Ｇカップ': '乳首がピンクとは言えませんが、生まれつき濃いめなのでしょう。形も良く崩れない。', 'パネル差: 10': '店のタブレットで顔は公開されています。可愛らしく撮影されて無いのでボーイさんの言うとおり実物の方が良い。', 'プレイ: 95': '声が可愛いのでもっと感じて声あげて欲しいところだが残念。意外と初心な雰囲気が良い。もう慣れてきているはずだが。自主的にタマなめしてくれたのはこの店で初、いや今まであったろうか？', '総合: 95': '『ソープの風俗嬢』では無く普通のお嬢さん的な感じで、とても良い。恥ずかしがるところが可愛くて癖になりそう。しかし最近知ったメンエスの子の肌が、いかにも若い女性の吸い付くようなもち肌だった為、それに比べるとかなり劣る。石鹸使い過ぎるからソープ嬢はどうしても肌に期待できない。', 'リピート: 返す（リピートする）': '可愛い声を請求したい。'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-56755297/?lo=1
GG,ソープランド,エレナ,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-53248326/,25,https://m.fuzoku-tokai.com/2025/05/05/post-15427/,"{'顔: 90.0': '目がパッチリで綺麗。\n\n                        整形はしていないと思う。ナチュラルでこの顔立ちは、かなり美人の域だと思う。\n\n                        身長の割に顔が小さい。\n\n                        美人7：可愛い3の割合。\n\n                        唇は、柔らかくプニプニ。', 'スタイル: 85': 'アスリート系（本人は、運動全くしてない）で筋肉質のナイスボディ。くびれもちゃんとあり、太ってはいない。お尻も、外人の様なプリプリのおけつ。', 'カップ: Ｆカップ': '天然の乳。お椀型で、モチモチ。乳首は、ピンクと茶色の中間、常に乳首は立っているが、大きくも小さくも無い普通の大きさで舐め甲斐あり。巨乳であるが乳輪は、大きくない。乳の大きさにすると小さい方。', 'パネル差: 85': 'ほぼ、パネルどおり。パッチリのお目々。', 'プレイ: 80': 'マットは、あまり得意でないとの本人談。体がむっちりしているので、抱き心地は、最高。（太っていない、細身だが筋肉質で、アスリート系）洗い場で洗体して、風呂に一緒に入って、ベッドでプレイの流れをいつもしている。', '総合: 90': '顔、体、性格は、どれをとっても及第点です。何故かあまり人気がなく、事前予約はあまり埋まっていないので、当日、予約で入れてしまう。積極的にイチャイチャ系のプレイをしない、嬢からの積極的なキスや密着がない点がリピ客を逃していると思う。おっとりとしてガツガツしていない性格、故にね。接客は丁寧だが、客に媚びないスタイルだが、入って後悔はない。', 'リピート: 返す（リピートする）': '性格、スタイル、顔、どれをとっても良いので、定期的に遭いに行っている。もう少し、イチャイチャ系のプレイが出来るとめちゃくちゃ人気嬢になると思う。'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-53248326/
GG,ソープランド,セイカ,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-57050617/?lo=1,21,https://m.fuzoku-tokai.com/2025/05/02/post-15425/,"{'顔: 95.0': '元気に溢れている子\n\n                        顔は一瞬だけ綾瀬はるかに見える角度があるが、特に芸能人の◯◯に似ているという印象はない\n\n                        若くて元気で嫌味のないキャバ嬢のような雰囲気', 'スタイル: 100': 'ストレート型のスタイルですモデル用に贅肉ないですが、ストレートタイプであるため、女性らしさの丸みはありません足はカモシカのように綺麗です', 'カップ: Ｆカップ': '素晴らしいの一言針があり、きれいな形、大きさです「巨乳」というより本当に理想的な「乳」といった感じです', 'パネル差: 0': 'HPに一時期顔を出していましたが実物のほうがきれいで可愛い今のぼかしの入った画像からイメージする顔（雰囲気）とは少し異なる', 'プレイ: 80': '100％受け身マット不可フェラ、騎乗意味特にうまくはない責好きの客でないと満足できない反応は良いので責めず気にはたまらない会話のときとのギャプが萌える', '総合: 90': '若い、スタイル抜群、清潔感あり（タバコは以前吸っていたような形跡あり）おしゃべりが好きなので、男性側がうまくリードしないと無駄な時間がすぎる受け身の客はやめた方が良いタメ口でサービス精神は少し低いがなぜかぎりぎり許せる範囲姫はゴムが切らなようで高級サービスを受けれるところが◎', 'リピート: 返す（リピートする）': '「正」のオーラがあり、風俗店に通うことへの後ろめたさを感じさせない姫である点'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-57050617/?lo=1
GG,ソープランド,HOTARU『ホタル』,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-11631416/,25,https://m.fuzoku-tokai.com/2024/08/23/post-15013/,"{'顔: 80.0': 'どちらかというと地味顔。\n\n                        よく見かけるいわゆる「どこにでもいそう」', 'スタイル: 90': '小柄だが脱がせてみるとボンキュンボンのナイスバディで驚いた。肩に10円玉サイズのいたずら書きあり。', 'カップ: Ｅカップ': 'やや巨乳で形のいい美乳。乳首が感じるようで優しく舌で転がすといい声で鳴く。', 'パネル差: 50': 'ほぼパネル通り。', 'プレイ: 95': '正直、初対面時は地味な子だなと少しがっかりした。しかし、いざプレイに突入すると印象が激変。これでもかの攻勢にグイグイ圧されて上へ下への貪り合戦。2回放出して疲れ果てたが気持ちのいい時間を過ごした。帰るころには可愛く見えてきて何となく愛おしくなった。', '総合: 90': '初対面のおとなしめな印象と濃厚プレイとのギャップに驚かされた。前述した「どこにでもいそう」な子との激しいエッチ。いわゆザ・ソープとは違う体験。', 'リピート: 返す（リピートする）': '返さない理由がない。'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-11631416/
GG,ソープランド,ヒナノ,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-39351432/,25,https://m.fuzoku-tokai.com/2023/02/22/post-13662/,"{'顔: 80.0': '全体的にぽっちゃり。風俗にあまりいなさそうな素朴な可愛い感じ。\n\n                        No.1なので相当可愛いと思ったがそれほどでもない。でも可愛い部類だと思う。', 'スタイル: 90': '人によっては太いと感じるかもですが、私としてはムチムチでエロい体に感じる。攻めたいと感じさせる体。', 'カップ: それ以上カップ': '綺麗で形もいい。パイズリの時、私の息子がすっぽり隠れた。舐めたい気持ちになる。', 'パネル差: 10': '顔出ししてないので、ごく稀に写メ日記で目出しあるが、それより少し劣るかな。', 'プレイ: 50': 'マットは全然ダメ。ただ滑っているだけ。ベットはイチャイチャでいい。キスいっぱいした。正常位しながら、いくまで無限DKしていたが、受け入れてくれ、それだけで充分だった。', '総合: 80': 'ベットプレイだけなら非常に良い時間を過ごせる。私には好みの顔、スタイルなので、イチャイチャプレイを堪能。マットはお薦めしない。', 'リピート: 返す（リピートする）': 'コスパ良し。平日10分プラスはお得。癒しが欲しくなったらいく。'}",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-39351432/
MGMコレクション,ソープランド,りりか,https://www.cityheaven.net/gifu/A2101/A210101/mgm_collection/girlid-57052197/?lo=1&of=y,30,https://m.fuzoku-tokai.com/2025/04/10/post-15400/,"{'顔: 50.0': '丸顔、ふっくらしてます\n\n                        私は可愛いと思って会いに行ってます\n\n                        誰にでもとは言えません', 'スタイル: 80': '外人みたいな超グラマラス小生あまり大きくないので上に乗られると覆い被さる感じ', 'カップ: それ以上カップ': '素晴らしい胸です正直窒息させられています天然ですごくいい胸です', 'パネル差: 50': '写メ日記の写真がいいと思います顔は前店から隠しているのでスタイルは明らかに巨大', 'プレイ: 90': 'サービスはかなりの高レベル濃厚で、男の潮吹きもやられてしまいますお願いすれば色々やってくれますサービス精神旺盛', '総合: 80': '外見は好みなので難しいですが、私は恵躰好きなので大丈夫スレンダー好きはやめましょうでもサービス精神は最高クラス', 'リピート: 返す（リピートする）': '身近では体験できない身体、サービス定期的にやりたくなります'}",https://www.cityheaven.net/gifu/A2101/A210101/mgm_collection/girlid-57052197/?lo=1&of=y
MGMコレクション,ソープランド,梨沙,https://www.cityheaven.net/gifu/A2101/A210101/mgm_collection/girlid-46530956/?lo=1&of=y,30,https://m.fuzoku-tokai.com/2025/04/09/post-15398/,"{'顔: 80.0': 'ホームページの写真通りです\n\n                        ショートヘアがよく似合ってます', 'スタイル: 90': '長身グラマラス肌も白くてきめ細かい湯船でずーっとバックハグしてました', 'カップ: Ｇカップ': '胸は大きくて非常に柔らかいですパイズリもしてくれます', 'パネル差: 10': 'ホームページの写真の通りです信用していいです', 'プレイ: 90': 'じゅんさんとの二輪車ですじゅんさんと濃厚キスしながら、梨沙さんにM字騎乗で責められ、最後は梨沙さんとキスしながらいきました。', '総合: 90': '顔やスタイルは人それぞれの好みですが、私は好きです仕事もできるし、何より安価二輪車ならこのお店がコスパ最高', 'リピート: 返す（リピートする）': 'もっと仲良くなりたいです改めてよかったので'}",https://www.cityheaven.net/gifu/A2101/A210101/mgm_collection/girlid-46530956/?lo=1&of=y
