shop_name,girl_name,girl_url,report_url,evaluations,report_text,cityheaven_url,url_key
GG,ひなの,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-39351432/,http://okinilove.com/blog-entry-1208.html#jyakuhai,評価 ★★★★☆ →記事リンク,"岐阜県巨乳部門3位の肩書きに惹かれて指名。
ただ、掲示板の太っているという書き込みに少し不安を感じつつお店へ。

お店に入ると、ボーイさんの勢いがあるあいさつに迎えられ、アンケートを記入して待機。
その後、案内されたエレベーターに乗っていたのは、谷間が見えるドレスに身を包んだ綺麗な女性。

部屋に入り服を脱がせると、綺麗で張りのある巨乳が現れます。

そこにいたのは、掲示板の書き込みにある太った女性ではなく普通体型、むしろおっぱいの大きさに対しては細い印象。

まずは身体を洗ってもらい、風呂に向かい合って入り、張りのある巨乳に触れたり潜望鏡でパイズリ、フェラをしてもらったことで、愚息は戦闘態勢に移行。

マットはおっぱいを全身で感じることができ、パイズリとフェラで硬度を取り戻し、ゴムを着けて騎乗位で挿入すると、強い締め付けに発射。

小休憩後はベッドで2回戦を開戦。フェラとパイズリで硬くして騎乗位で挿入。

逝くことができず正常位に変更したものの、騎乗位での締め付けが行方不明に…後背位に変更すると、大きなお尻に興奮しいつもの自慰より大量に発射。

休憩しつつ触りあって愚息の復活を待ち、元気を取り戻してきたところで騎乗位で挿入。
硬度不足で逝けなかったため、後背位に変更したものの、時間切れで終了。

気持ち良いところに当たるのか、後背位が最も大きい声で喘ぎ、濡れて締まっていだけに最後逝かせられず、逝けなかったのが残念でした。",https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-39351432/,https://www.cityheaven.net/gifu/A2101/A210101/gold_garden/girlid-39351432
ラブミサイル,しおり,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-10227608/,http://okinilove.com/blog-entry-1522.html#kingneko,評価 ★★★☆☆ →記事リンク,"大阪遠征からの数日後の金津園。

お店は、ラブミサイル。
何気に見ていたら、No1のしおりさんが空いてる。　会ってみたいと思っていたので、夜にサクッと行って来ました。

カーテン開けて、すぐ手を取られてのお部屋に案内。
トイレは大丈夫？とかチャンと聞いてくれます。

部屋に入っても、何気ないお話を続けて、凄く話しやすい女の子だと思いました。このまま60分終わってしまうと、言うくらいのお話し上手！

終わりそうに無いと、感じ取ったのか、凄く感じよくシャワーに案内してくれました。脱衣アシストは有りでした。
本当に女の子の良さが凄く分かる接客です。

プレーは、キスもしっかりしてくれて、騎乗位が好きなのか、得意なのか、絞まりも良かったです。

私の息子が小さいのか、、、正常位、バックの時は、少し圧迫感は無かったかなー。話し上手すぎて、キャバクラみたいでエロ抜きでも楽しめる女の子です。

胸とか、天然で感動するくらいの　柔らかさ、硬さ。美乳すきですが、巨乳もたまには良いと思いました。
流石No1という感じです。

美乳好きなので、僕は次は無いかもです。が、是非入ってみて下さい。",https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-10227608/,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-10227608
ラブミサイル,ここ,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-14231717/,http://okinilove.com/blog-entry-1522.html#kimu,評価 ★★★★☆ →記事リンク,"約一年振りに、お久しぶり〜ふ！
覚えていらっしゃいますでしょうか？

パチンコが激調子が良くタンス預金が出来ましたので、初のお風呂屋さんへ勉強に行きました。

平日昼間でも、予約してからのが良いですね。
結構、断られました。

少し待てば女の子が空く　ラブミサイルさんへ入りました。

トラブル有りでかなり待たされましたが案内された嬢の写真が好みだったので決めました。

スク水でお出迎えされ軽い対話の後脱がして貰い
「私も脱がして❤︎」なんて言われたらもう！

可愛いおっぱいとキレイな乳首ナイスなお尻キレイなアソコ　ちょこっと惚れそうでした。
すごい型の湯船に浸かりフェラーリ　普通です。

ベットへ行き、たくさんキスをして69になり久しぶりに思う存分アソコを舐めました。ちなみに無味無臭でした。

騎乗位の体制で生IN
嬢に腰ん振ってもらうも気持ち良すぎてstopを掛けて止めてもらいます。
もっと楽しみたいですからね。

そのまま騎乗で覆い被さった状態でお尻を掴むと何とも言えない柔らかさが凄く良かったです。

終始、騎乗位のまま腰を張り溜まったモノをマル秘へ注入して来ました♪

2回目もいけそうですが自分の息子さん元気無く残りはおしゃべりして終わりました。

もっと、いろんな対位をしたいのでこの子なら再訪は有りですね。
ちと遠いけどw",https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-14231717/,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-14231717
ラブミサイル,らら,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-49107541/,http://okinilove.com/blog-entry-1522.html#usagi,最高評価 ★★★★★ →記事リンク,"初めてラブミサイルに訪問！！
ネットで気になったララさんを予約。

会った印象は写真とちょっと違うかな。でも可愛いのでオケです！

プレイはかなりH好きの淫乱です。
アソコの締め付けも自由自在です。

スケベ娘がいい方は是非入ってみてください。",https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-49107541/,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-49107541
ラブミサイル,あかり,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-53034569/,http://okinilove.com/blog-entry-1522.html#jam,最高評価 ★★★★★ →記事リンク,"柔らかい身体で抱き心地最高。

スタイルは良し。お尻は大きいが、バックからの眺めはくびれからお尻にかけて良い形している。

おっぱいは感度良好、形はよく柔らかいのに垂れていない、理想的。

新人ながらエッチで時間いっぱい積極的にプレイしてくれます。
こちらの要望にも答えてくれる。
結構濃厚な時間を過ごせると思います。

おとなしめの性格で会話は少なかったが、その分プレイにしっかり費やしてくれた。

こちらが正常位、バックで動いていたら、 沢山動いてもらってごめんね、、、と言ってくれるような、優しくて気遣いの出来るいい子でした。",https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-53034569/,https://www.cityheaven.net/gifu/A2101/A210101/lovemissile/girlid-53034569
サバト,みすみ,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-34264226/,http://okinilove.com/blog-entry-1436.html#mirakuru,評価 ★☆☆☆☆ →記事リンク,"顔の唇にピアスがありキス出来ない。
指先にはデカイ付け爪。

身体はお尻、太ももが固くデカイ。
イチャイチャない。脱衣も何もしてくれない。

シャワーで時間稼いでおしゃべりが止まらない。
nn本番の時は正常位かバックでまぐろでした。

あそこは突いているととろけるほど気持ちいい。
中にたくさんだしました。

終わったらまたおしゃべりよく聞くと半分くらいうその気がする。

帰りも何もない。
初めのあいさつもない。

名前もこちらが聞くまで言わなかった。案内の人も言わなかった。
教訓　2000円けちるととんでもない目に合う。",https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-34264226/,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-34264226
サバト,あゆみ,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-40084635/,http://okinilove.com/blog-entry-1436.html#mingoru,最高評価 ★★★★☆ →記事リンク,"ラブミサイルに入店したての頃入りました。

気さくに話ができ、内容も楽しくて風俗慣れしている感じでした。
スタイルはとても良く、とくに胸はよく褒められるそうです。

アソコは若いだけあり正常位、バックとなった時点で持たずそのまま。

良い娘でしたので、今レインボーとなっているのも納得です。",https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-40084635/,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-40084635
サバト,ゆら,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-41709102/,http://okinilove.com/blog-entry-1436.html#hanaru4,評価 ★★★★☆ →記事リンク,"信号待ちで通りすがりの女性を見るだけで股間がうずく症状が出始めたのでこりゃいかん！と予約の電話をしました。

いつかそのうち入ろうと先延ばしにしていたナンバー1のゆら嬢の空きがあったので予約完了。

予定時間の10分前に入店しますが珍しく時間を前倒して案内となり階段上の嬢とご対面。
軽い挨拶から部屋に通されベッドに腰かけてから改めてルックスチェック。

目鼻立ちがはっきりしたフィギアスケート系の綺麗なお顔とドレスの胸元よりこれでもかと谷間が強調されています。
笑顔もあり会話も問題ないのでやはりナンバー1の安定感に納得。

すぐに服を脱いでいただくと白い肌に超美巨乳があらわになりむっちむちのドスケベボディに私のフランクフルトはギンギンにいきり立ちはやく突撃させろ！と紳士を装う私にはお構いなしに主張してしまいます。

軽く洗体をしていただき湯船につかるとここではじめて嬢からキスの誘いがあり濃厚に舌を絡めつつ巨乳ちゃんに手を伸ばします。

スベスベで柔らかくも重量がある至宝は何時間でも揉んでいられそうです。
しかしながら水面下ではバカになった一角獣が常に嬢に当たっておりそれを察したようにベッドへの移動を促されます。

誘導のまま私が仰向けに寝転ぶと覆いかぶさるように
キス→乳首舐め→フェラへと丁寧に進んでいきます。

フェラはいい吸引力でジュポジュポとバキュームでしゃぶってくれ嬢がギンギンのフランクから口を離すと手をついて私の顔の方へ移動してきます。

再度濃厚なディープキスをされ並行して下半身はフランクフルトの裏筋に嬢の柔らかなワレメちゃんを前後に滑らせ素股にて焦られたのちいきり立つフランクには手の誘導などいらずグラインドの流れでそのままズブリと嬢の中に入ってしまいます。

やっぱ生は最高っ！と

締まりのいいおマンコを騎乗位にて味わい揺れる至宝を揉んだり吸ったり欲望の赴くままに楽しみます。

ムッチリボディを堪能するためバックをオーダーし四つん這いになっていただきますが真っ白なデカ尻からピンクの綺麗なワレメちゃんが口を開いているので遠慮なしにノーハンドで突き刺します。

反応もよく尻を鷲掴みにしてピストンしたのち正常位へと移行。

M字で待ち受ける嬢へと挿入しながらクリを弄るとすごい反応で声を上げてアッという間に昇天されました。
その後もピストンやクリいじりで大絶叫の中なんどもイッていただき

最後は恒例の""中に出して""を絶叫してもらい放出いたしました。
果てたフランクがダランと穴から滑り出るとパックリ開いたワレメちゃんからダラダラと精液が滝のように流れでます。

体をあらい服を着たあともすぐにムラムラするほどいやらしいボディラインで人気の理由も納得です。
気持ちのいい疲労感浸りながら帰路につきました。",https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-41709102/,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-41709102
サバト,ゆずは,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-46197763/,http://okinilove.com/blog-entry-1436.html#karakiti4,最高評価 ★★★★☆ →記事リンク,"久しぶりの投稿です。

今回はゆずはちゃん。
普段はおっぱいの大きい子を選びがちな私が、たまにはと思って今回はちっぱいの子を指名しました。

それが功を奏しました。
写真とは若干違いましたが、身長が低くて、幼くて全然可愛い子でした。

見た目は高◯生かなと思うくらいの容姿でした。
プロフはCカップとなってましたが、実際はおそらくAカップかな？ですが、それがいいんです。

キャバクラで働いていただけあるのか、おしゃべりはとても楽しかったです。
そして、少し天然なところがあり、それも含めてよかった。
人見知りでも問題なし

プレイは、まだ慣れていないのか、少々ぎこちなさもありましたが、逆にそれが素人感が出てよかった。
プロフにもあるように、めちゃキスしてくれます。

向こうからも積極的にしてくれますし、こちらからも求めれば積極的にしてくれます。
キスの多さもものすごく良かったですが、特によかったのはアソコのキツさ。

今まで風俗で多くの子と遊びましたが、キツさNo. 1かも。
おかげで早く果ててしまいます笑

ちっぱいなので、好みは分かれますが、個人的にはよかったです。
とても可愛い子だったし、愛想も良く、おしゃべりも楽しい、プレイの方はぎこちなさもありますが、それが逆によかったです。",https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-46197763/,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-46197763
サバト,めめ,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-47888999/,http://okinilove.com/blog-entry-1436.html#zeri,評価 ★★★☆☆ →記事リンク,"お久しぶりです
姫初め、用事の前に時間ができたので行ってきまして結論リピはないなと

その日待合室にて爪を切り待っているとスタッフに呼ばれ階段へ
顔を合わせて すぐスタスタ行ってしまわれて（あぁ、手を引いてくれたりしないのね）って

ベッドに腰掛け話し始めると 60分で入っているのに話が止まらない

やっと始まると思いきや 脱衣はセルフ、洗体も胸と腰周りだけ、私を湯船に行かせると 嬢は一緒にお風呂に入らず 体を洗ってベッドへ行ってしまいました

仕方がないのでそれを追いかけると やっぱりセルフで体を拭きベッドヘ
（この時点で少し帰りたくなってきた）

プレイは先に攻めてもらったけど普通
キスもなし

時間も無さそうだったので攻めようとしたら すぐ欲しいってIN 何もしてないのにヌルヌルで 仕込んでたからお風呂に来なかったのかな

切り替えて中を楽しんでその後セルフでシャワーして、やっぱりお風呂には入ってきてくれなくて、セルフで体を拭いておしまい　以上

安いところではあるけど、もう少しお風呂屋さんしてよと思いました",https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-47888999/,https://www.cityheaven.net/gifu/A2101/A210101/sabbat/girlid-47888999
